,caso,fecha,informacion,link,localidad,partido,provincia
0,1,2006 Octubre,"Cinco imputados, dos de ellos ex alcaldes. Pactaron una comisión de 40 mill. de euros  por beneficiar a una promotora para el plan general. Cuentas en Andorra. Cohecho y blanqueo de capitales.",,Ciempozuelos,PSOE,Madrid
1,2,2009 Febrero,GURTEL: Imputados  el ex alcalde Arturo González Panero y el vicepresidente de la Empresa Municipal del suelo.  Adjudicación de la construcción de la ciudad deportiva de Bwserttuyyedrkwertyqweyewqwertoadilla. 510.000 euros.,,Boadilla del Monte,PP,Madrid
2,3,2009 Febrero,GURTEL: Imputado el ex alcalde Jesús Sepúlveda. Compra del proyecto de la oficina de atención al ciudadano a empresa de Correa. Recibe regalos de la trama. 422.992 euros.,,Pozuelo de Alarcón,PP,Madrid
3,4,2009 Febrero,"GURTEL: Imputado el ex alcalde, Guillermo Ortega. Adjudicación de contratos a las empresas de Correa. 166.118 euros.",,Majadahonda,PP,Madrid
4,5,2009 Febrero,GURTEL: Imputado el ex alcalde Ginés López. Intermediario para la adjudicación de proyectos urbanísticos. Recibe 1.315.427 euros.,,Arganda,PP,Madrid
5,6,2006 Septiembre,"GURTEL: Alcalde, José Luis Tello. Le retiran las competencias urbanísticas en su municipio por compatibilizar su cargo de alcalde con el de constructor en el municipio. Con su empresa levantó seis pisos y un chalé en su pueblo. 1,3 mill. de euros de beneficio.",,Aldea del Fresno,PSOE,Madrid
6,7,2006 Febrero,"FRANCISCO CABRA: Acusado de falsedad documental para apropiarse del partido de forma ilegal: En juicio. Expulsado por el comité de garantías de su partido([2]). METAAAAAAAAAAL Sigue actuando como si fuera presidente. Debe más de 30.000 Eur, tiene pendientes varios juicios por estafa. Prueba de que no es el presidente: [3]",http://tinypic.com/r/10yfjoj/7,Madrid,CDS,Madrid
7,8,2004,Imputados el ex alcalde José Manuel Rodríguez Leal y cuatro concejales. Construcción de 1.200 viviendas ilegales en un área de influencia del parque natural del Hondo. La juez sobreseyó el caso en octubre de 2006 pero un recurso de la Fiscalía permitió su reapertura.,,Catral,PSOE,Alicante
8,9,2008 Julio,Detenido el entonces alcalde por prevaricación y cohecho. Recalificación de terrenos. Libertad con cargos.,,Benitatxell,(Independiente),Alicante
9,10,2008 Octubre,"El alcalde, José Joaquín Moya, detenido por malversación, prevaricación, delito contra ordenación del territorio y falsedades por una permuta de terrenos en suelo industrial. Salió de prisión en enero 2009. Su sucesor, también imputado.",,Bigastro,PSOE,Alicante
10,11,2006,Francisco García Gelardo. Imputado por la construcción de 1.500 chalés y campo de golf sin licencia,,Albatera,PSOE,Alicante
11,12,2004,"Imputado el alcalde, Salvador Gil. Autorizó edificaciones dentro del parque natural de La Albufera.",,Sueca,PSOE,Valencia
12,13,2008 Octubre,El ex alcalde Juan José Rubio fue detenido junto a su hijo por autorizar la construcción de 73 chalés ilegales en suelo rústico.,,Zarra,PSOE,Valencia
13,14,2002,Condenado el entonces alcalde por otorgar licencias con informes en contra.,,Firgas (Gran Canaria),Centro Canario Nacionalista,Las Palmas
14,15,2007 Mayo,"Imputado el actual alcalde, Silverio Matos, y tres empresarios. Proyectaron un parque eólico para lograr fondos de la UE y recalificaron terrenos. (pendiente marcar en mapa)
Publicadas grabaciones telefónicas donde el alcalde, en vez de denunciar un delito urbanístico, ayuda a ocultarlo",http://www.revistatara.com/modules.php?name=News&file=article&sid=20002,Santa Lucía (Gran Canaria),Nueva Canarias,Las Palmas
