New Zealand	NZL	AP	2.4	2.56	2.32	2.28	2.3	2.2
Denmark	DNK	WE/EU	2.75	2.46	2.16	2.04	2.2	2
Finland	FIN	WE/EU	2.84	1.46	1.77	2.05	1.7	3
Norway	NOR	WE/EU	1.83	1.85	2.24	2.38	2.3	1.6
Switzerland	CHE	WE/EU	1.71	1.57	2.55	2.61	2.5	2.6
Singapore	SGP	AP	2.26	2.35	2.02	1.75	2.3	2.1
Sweden	SWE	WE/EU	2.27	1.33	1.71	3.41	2.3	1.9
Canada	CAN	AME	1.49	2.03	1.63	2.45	2.4	2.2
Luxembourg	LUX	WE/EU	2.08	1.96	1.60	2.78	2.9	2.8
Netherlands	NLD	WE/EU	2.23	2.32	1.98	1.97	2	2
United Kingdom	GBR	WE/EU	1.7	2.12	2.40	2.09	1.3	1.3
Germany	DEU	WE/EU	1.87	2.73	2.50	2.58	2.4	2.3
Australia	AUS	AP	1.4	1.27	1.50	1.31	1.5	1.1
Hong Kong	HKG	AP	2.37	2.62	2.48	2.75	2.4	1.9
Iceland	ISL	WE/EU	4.38	3.81	4.53	3.16	2.8	4.1
Austria	AUT	WE/EU	1.17	1.36	1.76	3.49	3.2	2.4
Belgium	BEL	WE/EU	1.63	1.55	1.34	2.26	2.3	2.4
United States of America	USA	AME	3.24	3.15	3.47	3.74	4	4.1
Ireland	IRL	WE/EU	3.68	4.31	4.92	4.75	4.2	3.5
Japan	JPN	AP	2.66	3.02	2.96	3.16	2.4	2.3
Estonia	EST	WE/EU	2.21	2.16	2.79	2.89	2.7	3
United Arab Emirates	ARE	MENA	6.26	5.7	5.07	5.14	4.7	4.3
France	FRA	WE/EU	1.36	2.97	2.49	2.17	2.4	2.4
Uruguay	URY	AME	2.67	2.68	1.68	1.41	1.4	1.5
Barbados	BRB	AME	3.24	6.91		8.09	7.1	6.7
Bhutan	BTN	AP	1.83	2.12	2.14	1.81	2.6	3.6
Chile	CHL	AME	2.03	2.65	2.15	1.74	1.8	2.1
Bahamas	BHS	AME	5.39	5.2		0.99	1	1
Portugal	PRT	WE/EU	2.56	2.58	2.50	3.36	3	2.5
Qatar	QAT	MENA	7.5	7.02	6.63	7.21	7.2	6.4
Taiwan	TWN	AP	3.28	3.79	3.78	4.17	4.3	3.9
Brunei Darussalam	BRN	AP	8.72	8.85			10.4	9.1
Israel	ISR	MENA	2.19	2.27	2.78	2.34	1.6	2.9
Botswana	BWA	SSA	2.74	3.1	2.35	1.93	1.6	1.9
Slovenia	SVN	WE/EU	2.78	2.44	2.93	3.03	3.6	3.9
Poland	POL	WE/EU	1.36	1.77	2.59	2.70	2.3	2
Seychelles	SYC	SSA	8.32		8.50	8.62	8.2	8
Costa Rica	CRI	AME	2.98	3.17	2.71	4.07	4.1	7
Lithuania	LTU	WE/EU	2.21	1.36	1.92	3.85	3.8	5.3
Latvia	LVA	WE/EU	3.21	2.96	2.76	3.35	3.6	4
Saint Vincent and the Grenadines	VCT	AME	3.39	1.66		5.59	5.6	5.6
Cyprus	CYP	WE/EU	3.78	5.94	4.17	3.92	3.9	2.4
Czech Republic	CZE	WE/EU	1.98	2.24	2.21	2.94	3	2.9
Dominica	DMA	AME	2.55	0.85		2.34	2.3	2.3
