New Zealand	NZL	AP	8	7	7	7	7	7
Denmark	DNK	WE/EU	8	7	7	7	7	7
Finland	FIN	WE/EU	8	7	7	7	7	7
Norway	NOR	WE/EU	8	7	7	7	7	7
Switzerland	CHE	WE/EU	7	6	6	6	6	6
Singapore	SGP	AP	9	8	8	8	9	9
Sweden	SWE	WE/EU	8	7	7	7	7	7
Canada	CAN	AME	8	7	7	7	7	7
Luxembourg	LUX	WE/EU	6	6	5	6	6	6
Netherlands	NLD	WE/EU	8	7	7	7	7	7
United Kingdom	GBR	WE/EU	8	7	7	7	8	8
Germany	DEU	WE/EU	8	7	7	7	8	8
Australia	AUS	AP	9	8	8	8	8	8
Hong Kong	HKG	AP	7	7	7	7	8	8
Iceland	ISL	WE/EU	7	6	5	6	6	6
Austria	AUT	WE/EU	8	7	7	7	8	8
Belgium	BEL	WE/EU	8	7	7	7	7	7
United States of America	USA	AME	9	9	8	8	9	9
Ireland	IRL	WE/EU	7	6	6	6	6	6
Japan	JPN	AP	9	8	8	8	9	9
Estonia	EST	WE/EU	10	10	9	9	9	8
United Arab Emirates	ARE	MENA	7	7	7	7	7	7
France	FRA	WE/EU	8	7	7	7	8	8
Uruguay	URY	AME	7	6	6	6	6	6
Barbados	BRB	AME	3	3		3	3	3
Bhutan	BTN	AP	5	5	4	4	4	3
Chile	CHL	AME	9	8	8	8	9	9
Bahamas	BHS	AME	3	3		3	3	3
Portugal	PRT	WE/EU	8	8	7	7	7	7
Qatar	QAT	MENA	7	7	6	6	6	6
Taiwan	TWN	AP	8	8	7	7	7	7
Brunei Darussalam	BRN	AP	3	3			3	3
Israel	ISR	MENA	7	6	6	6	6	5
Botswana	BWA	SSA	7	6	6	6	7	7
Slovenia	SVN	WE/EU	10	10	9	9	9	8
Poland	POL	WE/EU	10	10	9	9	10	10
Seychelles	SYC	SSA	4		3	3	4	4
Costa Rica	CRI	AME	7	7	6	5	5	5
Lithuania	LTU	WE/EU	9	9	8	8	8	7
Latvia	LVA	WE/EU	9	9	8	8	8	6
Saint Vincent and the Grenadines	VCT	AME	3	3		3	3	3
Cyprus	CYP	WE/EU	7	5	5	5	5	4
Czech Republic	CZE	WE/EU	10	9	9	9	10	10
Dominica	DMA	AME	3	3		3	3	3
Spain	ESP	WE/EU	8	7	7	7	7	7
Georgia	GEO	ECA	6	6	5	6	6	6
Malta	MLT	WE/EU	5	5	4	5	5	4
Cabo Verde	CPV	SSA	4	3	4	4	4	4
Rwanda	RWA	SSA	6	6	5	4	5	5
Saint Lucia	LCA	AME	3	3		3	3	3
Korea, South	KOR	AP	10	9	9	9	10	10
Grenada	GRD	AME	3	3
Namibia	NAM	SSA	6	5	5	5	6	6
Italy	ITA	WE/EU	8	7	7	7	7	7
Mauritius	MUS	SSA	5	4	4	4	5	5
Slovakia	SVK	WE/EU	9	8	8	8	8	8
Croatia	HRV	WE/EU	10	9	9	9	9	8
Saudi Arabia	SAU	MENA	7	5	5	5	5	5
Greece	GRC	WE/EU	8	7	7	7	7	7
Jordan	JOR	MENA	8	8	7	7	7	7
Romania	ROU	WE/EU	10	10	9	9	9	8
Cuba	CUB	AME	5	5	4	4	4	4
Malaysia	MYS	AP	9	8	8	8	9	9
Montenegro	MNE	ECA	5	4	4	4	4	4
Sao Tome and Principe	STP	SSA	4	3	3	3	3	3
Hungary	HUN	WE/EU	10	9	9	9	10	10
Senegal	SEN	SSA	9	8	8	8	9	9
Belarus	BLR	ECA	7	7	6	5	5	5
Jamaica	JAM	AME	7	6	6	6	6	6
Oman	OMN	MENA	5	5	5	5	5	5
Bulgaria	BGR	WE/EU	10	9	9	9	9	8
South Africa	ZAF	SSA	8	7	7	7	9	9
Vanuatu	VUT	AP	3
Burkina Faso	BFA	SSA	7	7	7	7	7	7
Lesotho	LSO	SSA	6	5	5	5	5	5
Tunisia	TUN	MENA	7	7	6	6	7	7
China	CHN	AP	9	8	8	8	9	9
Serbia	SRB	ECA	8	7	7	7	7	7
Suriname	SUR	AME	4	4	3	3	3	3
Trinidad and Tobago	TTO	AME	6	5	4	4	4	4
Ghana	GHA	SSA	9	9	8	8	9	9
India	IND	AP	9	8	8	9	10	10
Morocco	MAR	MENA	7	7	6	6	8	8
Turkey	TUR	ECA	8	9	8	8	9	9
Argentina	ARG	AME	8	8	7	7	8	8
Benin	BEN	SSA	6	6	5	4	6	6
Kosovo	KSV	ECA	5	5	3	3	3	3
Kuwait	KWT	MENA	6	5	5	5	5	5
Solomon Islands	SLB	AP	3	3
Swaziland	SWZ	SSA	3			3	4	4
Albania	ALB	ECA	8	7	7	7	7	7
Bosnia and Herzegovina	BIH	ECA	7	7	6	6	7	7
Guyana	GUY	AME	5	6	4	4	4	4
Sri Lanka	LKA	AP	7	7	7	7	7	7
Timor-Leste	TLS	AP	3	3	3	3	3	3
Brazil	BRA	AME	8	8	7	7	8	8
Colombia	COL	AME	8	8	7	7	7	7
Indonesia	IDN	AP	9	8	8	8	9	9
Panama	PAN	AME	7	6	6	6	6	6
Peru	PER	AME	8	7	7	7	7	7
Thailand	THA	AP	9	9	8	8	8	8
Zambia	ZMB	SSA	9	9	8	8	8	8
Bahrain	BHR	MENA	4	5	5	5	5	5
Côte D'Ivoire	CIV	SSA	8	8	8	8	8	8
Mongolia	MNG	AP	9	9	8	7	7	7
